,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Luka Dončić,27.7,8.02,8.58,1.0,7.6,1.14,0.42,4.02,66.0,34.34,9.42,20.24,0.46,0.53,6.08,8.2,0.74
1,Kevin Durant,27.31,4.43,7.01,0.62,6.39,0.98,1.16,3.14,60.76,36.17,9.4,18.44,0.51,0.57,6.5,7.34,0.88
2,LeBron James,27.2,7.34,7.54,1.16,6.4,1.52,0.74,3.5,71.05,37.83,9.98,19.76,0.51,0.55,5.6,7.64,0.73
3,Joel Embiid,26.54,3.31,10.93,2.23,8.71,0.89,1.73,3.39,56.29,31.2,8.71,17.47,0.5,0.53,7.97,9.73,0.81
4,Kobe Bryant,26.06,5.16,5.43,1.0,4.41,1.46,0.39,3.36,66.57,37.04,9.02,20.54,0.44,0.47,6.48,7.72,0.84
5,Trae Young,25.72,9.34,3.72,0.68,3.04,0.96,0.14,4.16,70.6,33.92,8.18,18.66,0.44,0.5,6.86,7.84,0.87
6,Damian Lillard,25.5,6.78,4.24,0.6,3.64,0.95,0.33,2.86,69.91,36.35,8.22,18.75,0.44,0.52,5.88,6.55,0.89
7,Zion Williamson,25.17,3.47,6.83,2.47,4.37,0.9,0.53,2.87,38.0,31.33,9.67,16.07,0.6,0.61,5.63,8.23,0.68
8,Donovan Mitchell,24.82,4.52,4.18,0.82,3.37,1.32,0.3,2.77,68.83,34.07,8.83,19.7,0.45,0.52,4.13,4.95,0.84
9,James Harden,24.28,7.93,6.05,0.77,5.27,1.43,0.57,3.82,61.61,35.31,7.18,16.27,0.44,0.52,7.2,8.35,0.86
10,Devin Booker,24.28,4.82,4.03,0.57,3.48,0.86,0.29,3.11,66.25,33.89,8.51,18.41,0.46,0.52,5.15,5.95,0.87
11,Kyrie Irving,24.24,5.72,4.2,0.85,3.36,1.29,0.49,2.5,52.21,34.76,8.91,18.67,0.48,0.54,3.96,4.43,0.89
12,Stephen Curry,24.16,6.41,4.76,0.69,4.1,1.52,0.26,3.12,63.0,33.57,8.24,17.46,0.47,0.58,3.97,4.34,0.91
13,Anthony Davis,23.82,2.45,10.29,2.58,7.72,1.35,2.26,1.99,60.0,34.26,8.95,17.2,0.52,0.53,5.49,6.96,0.78
14,Giannis Antetokounmpo,23.25,4.79,9.81,1.77,8.04,1.14,1.24,3.02,71.9,32.48,8.41,15.6,0.53,0.55,5.7,8.09,0.71
15,Karl-Anthony Towns,23.22,3.48,10.85,2.8,8.06,0.81,1.25,2.78,63.88,33.99,8.44,16.25,0.52,0.58,4.47,5.38,0.84
16,Allen Iverson,22.86,6.06,3.05,0.58,2.49,1.65,0.13,3.34,47.07,38.51,7.84,18.09,0.44,0.46,6.4,8.13,0.77
17,Jayson Tatum,22.73,3.33,7.03,0.92,6.13,1.13,0.68,2.28,73.17,34.08,7.98,17.4,0.46,0.53,4.35,5.12,0.84
18,Ja Morant,22.62,7.38,4.88,1.02,3.88,1.02,0.3,3.32,62.0,32.15,8.25,17.42,0.47,0.51,4.88,6.48,0.75
19,Carmelo Anthony,22.37,2.66,6.26,1.54,4.72,0.94,0.53,2.36,63.67,34.4,7.99,17.91,0.44,0.49,4.99,6.1,0.81
20,Bradley Beal,22.11,4.34,4.06,0.86,3.21,1.1,0.41,2.5,63.18,34.53,8.09,17.61,0.46,0.52,3.83,4.64,0.81
21,Shai Gilgeous-Alexander,21.88,4.78,4.64,0.7,3.96,1.2,0.74,2.44,62.2,33.02,7.62,15.68,0.48,0.52,5.4,6.42,0.83
22,Anthony Edwards,21.73,3.7,5.1,0.77,4.3,1.4,0.6,2.7,74.33,34.13,7.83,17.87,0.44,0.51,3.33,4.33,0.77
23,Russell Westbrook,21.7,8.24,7.09,1.58,5.51,1.55,0.35,4.01,68.65,33.69,7.82,17.79,0.44,0.47,4.93,6.42,0.75
24,Jamal Mashburn,21.2,4.05,6.15,0.9,5.25,0.85,0.25,2.35,50.5,39.45,8.2,20.1,0.41,0.44,3.6,4.35,0.83
25,DeMar DeRozan,21.04,4.02,4.42,0.71,3.72,0.99,0.31,2.09,73.64,34.39,7.55,16.14,0.47,0.48,5.51,6.54,0.84
26,Dwyane Wade,20.69,5.16,4.53,1.12,3.41,1.47,0.82,3.05,62.28,32.66,7.61,15.96,0.47,0.49,4.99,6.54,0.76
27,Dirk Nowitzki,20.67,2.42,7.37,0.85,6.53,0.76,0.8,1.56,72.65,32.99,7.38,15.71,0.47,0.51,4.64,5.24,0.88
28,Zach LaVine,20.61,3.89,4.06,0.47,3.57,0.91,0.29,2.6,61.67,32.47,7.32,15.94,0.46,0.52,3.71,4.47,0.83
29,De'Aaron Fox,20.57,6.23,3.67,0.53,3.12,1.32,0.43,2.77,65.83,32.5,7.58,16.05,0.47,0.51,4.1,5.6,0.73
30,Nikola Jokić,20.4,6.71,10.55,2.62,7.95,1.21,0.72,2.89,74.5,30.91,7.82,14.12,0.55,0.59,3.72,4.5,0.83
31,Kristaps Porziņģis,20.03,1.92,8.06,1.82,6.23,0.71,1.77,1.68,50.33,30.62,7.02,15.42,0.46,0.51,4.17,4.98,0.84
32,Michael Jordan,20.0,3.8,6.1,0.9,5.2,1.5,0.5,2.1,82.0,37.0,8.3,18.6,0.44,0.45,3.2,4.0,0.82
33,Paolo Banchero,20.0,3.7,6.9,1.2,5.7,0.8,0.5,2.8,72.0,33.8,6.7,15.6,0.43,0.46,5.5,7.4,0.74
34,Brandon Ingram,19.83,4.21,5.24,0.73,4.53,0.7,0.56,2.57,59.0,33.21,7.2,15.4,0.46,0.51,4.07,5.16,0.77
35,Paul George,19.8,3.6,6.17,0.82,5.35,1.62,0.42,2.72,61.0,32.02,6.77,15.58,0.43,0.51,3.79,4.47,0.83
36,Klay Thompson,19.74,2.36,3.55,0.47,3.11,0.84,0.52,1.68,71.6,32.55,7.4,16.31,0.45,0.55,1.82,2.13,0.85
37,LaMelo Ball,19.7,7.37,6.33,1.27,5.07,1.5,0.37,3.23,54.0,32.1,7.03,16.63,0.43,0.51,2.7,3.27,0.82
38,Jalen Green,19.7,3.15,3.55,0.55,3.05,0.75,0.25,2.3,71.5,33.05,6.75,16.05,0.42,0.5,3.8,4.8,0.79
39,Kawhi Leonard,19.48,2.99,6.29,1.15,5.14,1.75,0.65,1.65,57.09,30.91,7.01,14.19,0.49,0.55,3.95,4.61,0.84
40,Andrew Wiggins,19.41,2.62,4.61,1.27,3.33,1.0,0.79,1.99,62.64,34.51,7.25,16.12,0.45,0.5,3.26,4.61,0.7
41,Chris Bosh,19.39,2.05,8.44,2.08,6.35,0.82,1.02,2.03,68.69,35.72,7.02,14.25,0.49,0.51,4.98,6.23,0.8
42,CJ McCollum,19.28,3.85,3.6,0.66,2.94,0.92,0.36,1.79,60.58,31.45,7.41,16.29,0.45,0.53,2.04,2.62,0.76
