,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Zion Williamson,22.6,2.1,8.9,3.5,5.4,2.1,1.8,2.4,33.0,30.0,9.0,13.2,0.68,0.71,3.9,6.2,0.64
1,R.J. Barrett,22.6,4.3,7.6,1.6,6.0,0.9,0.4,3.2,38.0,35.3,8.4,18.5,0.45,0.51,3.9,5.9,0.66
2,Marvin Bagley III,21.0,1.5,11.1,4.0,7.1,0.8,0.9,2.3,33.0,33.9,8.2,13.3,0.61,0.64,4.0,6.3,0.63
3,Tyler Hansbrough,20.15,1.1,8.5,3.4,5.15,1.25,0.48,2.1,35.5,30.9,6.6,12.3,0.54,0.54,6.88,8.72,0.79
4,J.J. Redick,19.88,2.2,2.72,0.48,2.22,1.1,0.1,2.12,34.75,34.05,5.9,13.7,0.43,0.55,4.75,5.22,0.92
5,Josh Howard,19.5,1.9,8.3,3.3,5.0,2.1,1.5,2.6,31.0,32.3,6.6,13.8,0.48,0.54,4.7,5.6,0.83
6,Jabari Parker,19.1,1.2,8.7,3.0,5.7,1.1,1.2,2.3,35.0,30.7,6.7,14.3,0.47,0.51,4.6,6.1,0.75
7,Tyree Appleby,18.8,6.4,3.5,0.4,3.0,1.8,0.1,3.4,33.0,36.7,5.6,13.2,0.43,0.52,5.2,6.4,0.82
8,T.J. Warren,18.5,0.95,5.65,2.65,3.0,1.5,0.5,1.7,35.0,31.2,7.55,13.55,0.57,0.6,2.8,4.3,0.62
9,Andrew White III,18.5,1.1,4.6,0.8,3.8,1.6,0.4,1.6,34.0,37.2,5.9,13.3,0.44,0.56,3.5,4.1,0.84
10,Alondes Williams,18.5,5.2,6.4,1.4,5.0,1.2,0.4,3.6,35.0,34.1,6.9,13.6,0.51,0.55,3.6,5.2,0.69
11,Cole Anthony,18.5,4.0,5.7,0.5,5.2,1.3,0.3,3.5,22.0,34.9,6.0,15.7,0.38,0.45,4.4,5.8,0.75
12,Dennis Smith Jr.,18.1,6.2,4.6,0.8,3.8,1.9,0.4,3.4,32.0,34.8,6.0,13.1,0.46,0.52,4.5,6.3,0.72
13,Jack McClinton,17.9,2.5,2.67,0.47,2.2,0.77,0.0,2.5,31.67,31.73,5.73,13.33,0.43,0.54,3.5,3.9,0.9
14,Guillermo Diaz,17.9,2.75,3.6,0.8,2.85,1.3,0.25,2.2,31.5,34.75,6.15,14.05,0.44,0.51,3.4,4.6,0.75
15,Jared Dudley,17.85,3.1,7.45,2.85,4.6,1.25,0.3,2.25,33.0,37.8,6.0,11.35,0.53,0.58,4.75,6.55,0.73
16,Olivier Hanlan,17.83,3.13,3.93,0.67,3.33,1.1,0.07,2.43,32.33,36.03,5.83,12.87,0.45,0.52,4.33,5.57,0.77
17,Vernon Carey Jr.,17.8,1.0,8.8,2.7,6.1,0.7,1.6,2.0,31.0,24.9,6.4,11.1,0.58,0.59,4.7,7.0,0.67
18,Drew Nicholas,17.8,2.7,3.8,0.9,3.0,1.2,0.4,2.1,31.0,31.7,5.9,13.4,0.44,0.53,3.7,4.4,0.85
19,Jerian Grant,17.75,6.45,2.75,0.3,2.45,1.85,0.4,2.0,25.0,36.35,5.7,11.4,0.5,0.56,4.9,5.95,0.82
20,Edward Scott,17.7,5.8,3.7,0.8,2.9,1.4,0.1,2.8,28.0,38.5,5.9,15.3,0.39,0.44,4.4,5.9,0.74
21,Dahntay Jones,17.7,0.9,5.5,1.4,4.1,1.2,0.5,1.9,33.0,30.7,6.0,12.8,0.47,0.53,4.2,5.7,0.75
22,Rashad McCants,17.67,2.13,4.07,1.53,2.57,1.5,0.63,2.23,32.67,29.27,6.27,12.93,0.49,0.57,2.8,3.87,0.72
23,Julius Hodge,17.63,3.97,6.37,2.0,4.4,1.37,0.73,2.83,32.0,34.93,5.73,11.97,0.48,0.52,5.3,6.9,0.77
24,Craig Smith,17.6,3.0,9.4,3.1,6.3,1.2,0.8,2.5,36.0,36.3,6.8,11.8,0.57,0.57,4.1,6.3,0.64
26,Jahlil Okafor,17.3,1.3,8.5,3.5,4.9,0.8,1.4,2.5,38.0,30.1,7.3,11.1,0.66,0.66,2.6,5.1,0.51
27,Brandon Ingram,17.3,2.0,6.8,1.9,4.9,1.1,1.4,2.0,36.0,34.6,5.9,13.4,0.44,0.52,3.2,4.7,0.68
28,Paolo Banchero,17.2,3.2,7.8,1.7,6.1,1.1,0.9,2.4,39.0,33.0,6.3,13.2,0.48,0.52,3.5,4.8,0.73
29,Josh Okogie,17.15,2.05,5.85,1.9,3.95,1.55,0.85,2.3,30.5,33.6,5.35,12.45,0.43,0.48,5.2,6.65,0.78
30,Lamar Patterson,17.1,4.3,4.9,1.0,3.9,1.4,0.3,2.6,36.0,32.6,5.6,12.7,0.44,0.53,3.7,4.9,0.75
31,Terquavion Smith,17.1,3.1,3.85,0.8,3.05,1.35,0.45,1.95,33.0,32.6,5.9,15.2,0.39,0.48,2.45,3.5,0.7
32,Terry Rozier,17.1,3.0,5.6,1.2,4.4,2.0,0.2,2.2,36.0,35.0,5.9,14.5,0.41,0.46,3.9,4.9,0.79
33,Jerome Robinson,17.03,3.23,3.83,0.5,3.37,1.33,0.27,2.87,30.0,34.47,6.03,13.5,0.45,0.51,3.3,4.37,0.73
34,Jarkel Joiner,17.0,3.6,4.8,0.8,4.0,1.3,0.1,1.4,34.0,35.9,5.9,13.7,0.43,0.5,3.4,4.0,0.85
35,Ky Bowman,16.97,3.87,6.37,0.8,5.6,1.37,0.33,3.0,32.67,35.47,5.87,13.57,0.44,0.52,2.93,3.9,0.76
36,Sylven Landesberg,16.95,2.85,5.45,1.55,3.95,0.9,0.2,2.55,27.5,33.15,5.75,13.1,0.44,0.47,4.7,5.85,0.8
37,Robert Hite II,16.85,1.25,5.4,1.3,4.15,1.55,0.25,1.5,31.5,33.25,6.05,13.95,0.43,0.52,2.25,2.7,0.84
39,Jayson Tatum,16.8,2.1,7.3,1.3,6.0,1.3,1.1,2.6,29.0,33.3,5.7,12.6,0.45,0.51,4.1,4.8,0.85
40,Tim Pickett,16.8,2.1,5.1,1.05,4.05,2.65,0.35,2.25,31.0,31.45,5.7,14.0,0.41,0.52,2.3,2.8,0.81
