,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Kris Humphries,21.7,0.7,10.1,3.1,7.0,0.9,1.1,2.8,29.0,34.1,7.6,17.2,0.44,0.46,5.9,7.9,0.74
1,Eric Gordon Jr,20.9,2.4,3.3,0.7,2.5,1.3,0.6,3.6,32.0,34.7,5.8,13.3,0.43,0.52,7.2,8.7,0.83
2,Brian Cook,20.0,2.0,7.6,1.5,6.1,0.7,0.4,2.8,30.0,31.3,6.7,14.1,0.48,0.51,5.6,6.8,0.82
3,D'Angelo Russell,19.3,5.0,5.7,1.0,4.7,1.6,0.3,2.9,35.0,33.9,6.6,14.7,0.45,0.54,3.4,4.5,0.76
4,James Palmer,18.45,3.0,4.3,1.15,3.1,1.2,0.45,2.15,34.5,33.1,5.7,14.25,0.41,0.46,5.45,7.25,0.75
5,Luka Garza,18.3,1.23,7.35,2.7,4.68,0.52,1.23,1.42,31.75,27.22,6.93,12.65,0.55,0.58,3.52,5.03,0.71
6,Brent Darby,18.3,4.4,3.9,0.5,3.3,1.8,0.1,3.6,32.0,38.1,5.1,13.5,0.38,0.44,6.4,7.9,0.81
7,D.J. Newbill,18.27,2.93,4.87,1.47,3.4,1.1,0.27,2.87,33.0,36.0,6.27,14.47,0.44,0.48,4.33,5.97,0.73
8,Terran Petteway,18.15,2.2,4.85,0.7,4.15,1.0,0.85,3.1,31.5,33.35,5.8,14.15,0.41,0.48,4.65,6.1,0.76
9,Trayce Jackson-Davis,17.95,2.12,9.07,2.8,6.28,0.7,2.1,1.92,31.5,32.6,6.75,11.98,0.56,0.56,4.5,6.65,0.68
10,Willie Deane,17.8,2.2,5.0,0.8,4.3,1.7,0.2,2.3,30.0,28.8,5.5,13.1,0.42,0.48,5.3,6.7,0.78
11,Carsen Edwards,17.7,2.5,3.33,0.4,2.97,1.13,0.2,2.2,36.0,29.37,5.87,14.2,0.41,0.5,3.4,4.17,0.8
12,Bracey Wright,17.67,2.4,5.07,1.33,3.73,0.93,0.57,2.33,28.33,35.73,5.53,13.67,0.41,0.49,4.4,5.7,0.77
