,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Trae Young,27.4,8.7,3.9,0.4,3.5,1.7,0.3,5.2,32.0,35.4,8.2,19.3,0.42,0.52,7.4,8.6,0.86
1,Michael Beasley,26.2,1.2,12.4,4.0,8.4,1.3,1.6,2.9,33.0,31.5,9.3,17.5,0.53,0.56,6.5,8.5,0.77
2,Kevin Durant,25.8,1.3,11.1,3.0,8.1,1.9,1.9,2.8,35.0,35.9,8.7,18.5,0.47,0.54,6.0,7.3,0.82
3,Andre Emmett,21.2,1.85,6.6,2.15,4.5,1.6,0.4,2.1,34.0,37.0,8.15,16.0,0.51,0.53,4.45,6.1,0.72
4,Cade Cunningham,20.1,3.5,6.2,0.7,5.5,1.6,0.8,4.0,27.0,35.4,6.5,14.8,0.44,0.52,4.9,5.8,0.85
5,Dedric Lawson,19.4,1.7,10.3,3.1,7.2,1.3,1.1,2.3,36.0,32.6,6.9,14.1,0.49,0.52,4.6,5.7,0.82
6,Alec Burks,18.8,2.35,5.75,2.15,3.6,1.15,0.35,2.25,34.0,30.8,6.15,12.4,0.5,0.53,5.8,7.15,0.8
7,Marial Shayok,18.7,2.0,4.9,1.4,3.5,0.9,0.2,2.7,34.0,32.9,6.7,13.6,0.5,0.57,3.2,3.6,0.88
8,Blake Griffin,18.7,2.05,11.75,3.6,8.15,1.05,1.0,2.8,34.0,30.85,7.1,11.45,0.61,0.61,4.5,7.65,0.59
9,Nick Collison,18.5,2.2,10.0,3.3,6.7,1.2,1.9,2.4,38.0,32.4,7.4,13.3,0.55,0.57,3.3,5.3,0.64
10,Hollis Price,18.0,2.8,2.7,0.5,2.3,1.6,0.2,2.0,34.0,33.6,5.7,12.6,0.45,0.56,3.8,4.1,0.93
11,James Anderson,17.93,1.63,5.07,1.93,3.13,1.1,0.6,2.13,33.67,32.83,5.77,12.57,0.46,0.55,4.17,5.23,0.78
12,Wayne Simien Jr,17.63,1.07,9.5,3.17,6.33,0.8,0.6,1.93,24.67,30.47,6.5,11.43,0.58,0.58,4.53,5.8,0.77
13,Curtis Stinson,17.6,4.77,5.57,1.8,3.73,2.13,0.1,3.47,31.33,35.43,6.87,15.03,0.46,0.49,3.0,4.47,0.67
14,Keyontae Johnson,17.4,2.1,6.8,1.5,5.3,1.0,0.2,2.9,36.0,34.1,6.6,12.7,0.52,0.57,3.0,4.2,0.72
