,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Ike Diogu,21.47,1.23,8.83,3.37,5.47,0.47,1.67,3.37,30.33,35.17,6.77,11.9,0.57,0.59,7.47,9.47,0.78
1,O.J. Mayo,20.7,3.3,4.5,1.1,3.5,1.5,0.4,3.5,33.0,36.8,7.2,16.2,0.44,0.52,3.7,4.6,0.8
2,Joe Shipp,20.4,2.3,6.1,1.9,4.2,0.9,0.7,1.9,31.0,35.4,7.8,15.0,0.52,0.56,3.5,4.7,0.76
3,Luke Ridnour,19.7,6.6,3.4,0.6,2.8,1.9,0.1,3.9,33.0,35.4,6.2,14.2,0.43,0.52,4.9,5.6,0.88
4,Jerryd Bayless,19.7,4.0,2.7,0.4,2.3,1.0,0.1,3.0,30.0,35.7,5.8,12.6,0.46,0.54,6.2,7.4,0.84
5,Desmon Farmer,19.05,1.8,4.7,1.7,2.95,1.05,0.1,2.4,29.0,33.95,6.1,15.35,0.4,0.48,4.4,5.55,0.79
6,James Harden,18.95,3.7,5.45,1.35,4.1,1.9,0.45,3.0,34.5,34.95,6.05,11.9,0.51,0.57,5.4,7.15,0.76
7,Ryan Anderson,18.7,0.95,9.05,2.7,6.35,0.55,0.5,1.8,33.0,33.0,6.35,13.1,0.48,0.55,4.15,4.95,0.83
8,Luke Jackson,18.6,4.05,7.05,2.0,5.1,1.5,0.25,2.85,31.5,33.2,6.1,12.95,0.47,0.54,4.7,5.4,0.86
9,Klay Thompson,17.9,2.63,4.83,0.9,3.93,1.3,0.73,2.97,32.67,34.4,6.13,14.43,0.42,0.51,3.23,3.9,0.85
10,Leon Powe Jr,17.8,1.05,9.8,3.35,6.45,0.8,0.6,2.2,27.0,32.55,5.95,12.05,0.49,0.49,5.9,8.8,0.66
11,Derrick Williams,17.6,0.9,7.7,2.5,5.2,0.8,0.65,2.25,34.5,29.1,5.55,9.55,0.58,0.62,5.8,8.1,0.71
12,Kevin Love,17.5,1.9,10.6,3.6,7.0,0.7,1.4,2.0,39.0,29.6,5.8,10.4,0.56,0.6,5.1,6.6,0.77
13,Chase Budinger,16.9,2.77,5.8,1.4,4.4,1.23,0.37,2.13,33.33,35.3,6.0,12.7,0.47,0.54,3.07,3.93,0.79
14,Jason Kapono,16.8,2.0,5.2,1.8,3.4,0.6,0.0,2.1,29.0,33.4,5.9,12.9,0.46,0.54,2.8,3.2,0.88
15,Philip Ricci,16.5,1.6,8.2,3.3,5.0,0.8,1.2,2.0,28.0,31.0,6.2,11.9,0.52,0.53,4.0,6.1,0.64
16,Isaiah Thomas,16.4,3.97,3.47,0.67,2.8,1.17,0.1,2.67,35.0,30.47,5.27,12.4,0.43,0.49,4.3,6.0,0.71
17,Julius Barnes,16.0,3.8,2.8,0.4,2.4,0.8,0.0,3.2,33.0,35.1,5.0,13.2,0.38,0.47,3.6,4.5,0.82
18,Brook Lopez,15.95,1.1,7.1,2.3,4.8,0.5,1.9,2.1,26.5,28.0,6.1,12.7,0.48,0.48,3.7,4.85,0.74
19,Curtis Millage,15.9,2.5,2.9,0.7,2.2,1.6,0.0,1.7,29.0,33.7,5.7,12.1,0.47,0.52,3.4,4.7,0.72
20,Salim Stoudamire,15.9,2.33,2.2,0.4,1.9,0.73,0.1,2.2,31.67,29.7,5.07,10.63,0.48,0.61,2.97,3.47,0.86
21,Marcus Moore,15.85,4.2,4.25,0.55,3.75,1.6,0.25,3.35,23.5,33.75,5.3,14.8,0.36,0.42,3.35,4.4,0.77
22,Dijon Thompson,15.6,2.47,5.63,1.63,4.03,1.3,0.3,2.93,28.0,32.83,5.73,12.3,0.47,0.53,2.67,3.43,0.77
23,Nick Young,15.3,1.43,5.1,1.8,3.3,0.83,0.27,2.1,32.0,30.93,5.7,11.83,0.48,0.52,2.93,3.83,0.74
24,Brian Wethers,15.1,3.0,4.4,1.6,2.7,0.9,0.1,2.1,31.0,32.1,6.2,12.6,0.49,0.52,2.0,3.1,0.65
25,Josh Childress,14.9,2.4,7.8,2.05,5.7,1.05,1.5,2.1,28.0,32.0,5.25,11.45,0.46,0.52,2.95,3.8,0.77
26,Spencer Hawes,14.9,1.9,6.4,2.0,4.4,0.5,1.7,2.5,31.0,28.9,6.2,11.7,0.53,0.53,2.4,3.2,0.76
27,Marcus Williams,14.8,2.0,5.7,1.95,3.7,1.05,0.65,2.25,31.5,30.85,5.65,11.9,0.47,0.51,2.6,3.65,0.71
28,Jason Gardner,14.8,4.9,4.0,0.5,3.5,1.8,0.0,2.8,32.0,34.9,4.6,11.6,0.39,0.48,3.6,4.6,0.78
29,Channing Frye,14.77,1.5,7.67,2.93,4.77,0.7,2.1,1.43,33.0,28.9,5.9,10.63,0.56,0.56,2.9,3.77,0.76
30,Arron Afflalo,14.5,1.97,3.43,0.6,2.83,0.6,0.17,1.97,34.67,32.53,4.9,10.77,0.46,0.55,2.77,3.57,0.77
31,Tajuan Porter,14.25,2.05,2.3,0.52,1.8,0.82,0.05,2.45,31.5,31.85,4.65,11.95,0.39,0.5,2.3,2.62,0.87
32,Nate Robinson,14.2,3.1,3.9,1.53,2.3,1.5,0.1,1.93,29.67,27.8,5.03,10.97,0.46,0.52,2.83,3.6,0.78
33,Hassan Adams,14.12,1.98,5.42,2.48,2.97,1.82,0.7,1.92,32.5,27.8,5.82,11.62,0.5,0.52,1.9,2.7,0.71
34,David Lucas,14.1,0.7,5.83,2.73,3.1,0.77,0.77,1.93,23.0,24.93,5.57,10.63,0.52,0.52,2.97,3.77,0.76
35,Malik Hairston,13.92,2.08,5.12,2.05,3.12,0.6,0.57,1.98,29.25,31.15,5.22,10.3,0.51,0.56,2.35,3.62,0.63
36,Gabe Pruitt,13.9,3.53,3.1,0.63,2.53,1.97,0.23,2.37,26.67,32.5,4.5,10.3,0.44,0.55,2.67,3.4,0.77
37,DeMar DeRozan,13.9,1.5,5.7,2.4,3.3,0.9,0.4,2.1,35.0,33.4,5.5,10.5,0.52,0.53,2.7,4.2,0.65
38,Jon Brockman,13.82,1.0,9.8,3.73,6.08,0.88,0.15,2.08,32.75,28.72,5.5,10.28,0.53,0.53,2.8,4.62,0.62
39,Jerome Randle,13.8,3.95,2.28,0.4,1.9,0.68,0.0,2.78,33.0,30.25,4.47,9.88,0.44,0.54,2.98,3.38,0.87
40,Amit Tamir,13.75,2.3,5.9,1.3,4.55,0.85,0.45,2.2,29.5,32.05,4.85,11.45,0.42,0.51,2.25,2.75,0.81
