--- When using SR data, please cite us and provide a link and/or a mention.,
,,
,,
 ,,
Rank,Player,PPG
1,Michael Jordan*,30.12
2,Wilt Chamberlain*,30.07
3,Luka Dončić,28.68
4,Joel Embiid,27.88
5,Elgin Baylor*,27.36
6,Kevin Durant,27.26
7,LeBron James,27.13
8,Jerry West*,27.03
9,Allen Iverson*,26.66
10,Bob Pettit*,26.36
11,George Gervin*,26.18
12,Oscar Robertson*,25.68
13,Trae Young,25.50
14,Damian Lillard,25.12
15,Karl Malone*,25.02
16,Kobe Bryant*,24.99
17,Dominique Wilkins*,24.83
18,Donovan Mitchell,24.83
19,Stephen Curry,24.76
20,Kareem Abdul-Jabbar*,24.61
21,Devin Booker,24.30
22,Larry Bird*,24.29
23,Adrian Dantley*,24.27
24,Pete Maravich*,24.24
25,James Harden,24.15
26,Anthony Davis,24.07
27,Shaquille O'Neal*,23.69
28,Kyrie Irving,23.59
29,Giannis Antetokounmpo,23.36
30,Rick Barry*,23.17
31,George Mikan*,23.13
32,Jayson Tatum,23.10
33,Karl-Anthony Towns,22.90
34,Paul Arizin*,22.81
35,Bernard King*,22.49
36,Carmelo Anthony,22.45
37,Charles Barkley*,22.14
38,David Thompson*,22.13
39,Bob McAdoo*,22.05
40,Dwyane Wade*,21.98
41,Julius Erving*,21.97
42,Bradley Beal,21.86
43,Geoff Petrie,21.82
44,Hakeem Olajuwon*,21.77
45,Russell Westbrook,21.70
46,Alex English*,21.47
47,DeMar DeRozan,21.25
48,De'Aaron Fox,21.19
49,David Robinson*,21.06
50,Mitch Richmond*,21.00
51,Patrick Ewing*,20.98
52,Elvin Hayes*,20.96
53,Nikola Jokić,20.95
54,Billy Cunningham*,20.83
55,Paul George,20.80
56,John Havlicek*,20.78
57,Dirk Nowitzki*,20.74
58,John Drew,20.69
59,Glenn Robinson,20.69
60,Chris Webber*,20.68
61,Gilbert Arenas,20.66
62,Moses Malone*,20.62
63,Zach LaVine,20.46
64,Clyde Drexler*,20.44
65,Dan Issel*,20.42
66,Dave Bing*,20.34
67,World B. Free,20.27
68,Lou Hudson*,20.16
69,Marques Johnson,20.10
70,Walt Bellamy*,20.08
71,Bob Lanier*,20.07
72,Kawhi Leonard,20.02
73,Mark Aguirre,20.00
74,Mike Mitchell,19.78
75,Kiki Vandeweghe,19.73
76,Paul Pierce*,19.66
77,Kristaps Porziņģis,19.65
78,Tracy McGrady*,19.60
79,Klay Thompson,19.59
80,DeMarcus Cousins,19.57
81,Magic Johnson*,19.54
82,CJ McCollum,19.47
83,Neil Johnston*,19.42
84,Brandon Ingram,19.40
85,Kemba Walker,19.31
86,Stephon Marbury,19.26
87,Chris Bosh*,19.25
88,Jack Twyman*,19.25
89,Hal Greer*,19.24
90,Isiah Thomas*,19.23
91,George Yardley*,19.20
92,Spencer Haywood*,19.20
93,LaMarcus Aldridge,19.11
94,Julius Randle,19.08
95,Jamal Mashburn,19.06
96,Jeff Malone,19.04
97,Tim Duncan*,19.03
98,Michael Redd,19.03
99,Yao Ming*,19.03
100,Blake Griffin,18.97
101,Brad Daugherty,18.96
102,Amar'e Stoudemire,18.91
103,Walter Davis*,18.90
104,Walt Frazier*,18.89
