,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Cameron Thomas,23.0,1.4,3.4,0.6,2.8,0.9,0.2,1.7,29.0,34.0,7.0,17.2,0.41,0.47,6.7,7.6,0.88
1,Ron Slay,21.2,2.1,7.8,1.6,6.2,0.7,0.1,3.7,29.0,34.2,7.3,15.0,0.49,0.54,5.2,6.7,0.78
2,Devan Downey,20.23,4.47,3.1,0.57,2.5,2.93,0.1,3.23,31.33,34.77,7.3,17.4,0.42,0.47,3.77,4.83,0.77
4,Stefan Moody,20.1,3.35,3.3,0.95,2.35,1.6,0.1,2.9,32.5,31.65,5.8,14.55,0.4,0.49,5.6,6.6,0.87
5,Jamal Murray,20.0,2.2,5.2,1.5,3.7,1.0,0.3,2.3,36.0,35.2,6.8,14.9,0.45,0.56,3.3,4.2,0.78
6,Malik Monk,19.8,2.3,2.5,0.3,2.2,0.9,0.5,2.0,38.0,32.1,6.6,14.7,0.45,0.54,3.9,4.7,0.82
7,Marshall Henderson,19.55,1.9,2.5,0.4,2.1,1.4,0.1,1.95,33.0,31.3,5.75,15.75,0.37,0.5,3.95,4.6,0.85
8,Collin Sexton,19.2,3.6,3.8,1.0,2.7,0.8,0.1,2.8,33.0,29.9,5.9,13.3,0.45,0.5,5.9,7.6,0.78
9,Ben Simmons,19.2,4.8,11.8,3.1,8.6,2.0,0.8,3.4,33.0,34.9,6.5,11.7,0.56,0.56,6.0,9.0,0.67
10,Anthony Edwards,19.1,2.8,5.2,0.8,4.5,1.3,0.6,2.7,32.0,33.0,6.3,15.8,0.4,0.47,4.1,5.3,0.77
11,Brandon Miller,18.8,2.1,8.2,2.1,6.2,0.9,0.9,2.2,37.0,32.6,6.0,13.9,0.43,0.53,3.9,4.6,0.86
12,Marquis Daniels,18.4,3.3,6.2,1.9,4.3,2.3,0.2,3.0,34.0,34.9,7.2,14.0,0.51,0.54,3.1,4.7,0.67
13,K.T. Harrell,18.4,1.8,3.5,0.8,2.7,0.85,0.15,2.7,32.5,32.8,5.65,12.8,0.44,0.54,4.55,5.4,0.84
14,Jarvis Hayes,18.3,2.0,4.4,1.3,3.1,1.1,0.4,1.4,27.0,32.3,6.9,13.6,0.5,0.58,2.6,3.3,0.78
15,Kareem Canty,18.3,5.3,3.0,0.2,2.7,0.8,0.0,3.0,21.0,34.3,6.0,15.0,0.4,0.51,3.0,4.0,0.74
16,Matt Freije,18.15,1.0,4.9,1.65,3.25,0.8,0.5,1.35,31.0,30.45,5.85,13.7,0.43,0.5,4.35,5.5,0.79
17,Mason Jones,17.8,3.1,4.7,0.6,4.05,1.25,0.15,2.5,32.5,31.6,5.1,11.75,0.43,0.52,5.45,6.65,0.82
18,Scotty Pippen Jr.,17.73,4.33,3.1,0.77,2.3,1.6,0.17,3.3,30.0,31.57,5.27,12.67,0.41,0.48,5.63,7.27,0.77
19,K.J. Williams,17.7,0.9,7.7,2.9,4.8,1.2,0.8,1.5,33.0,32.8,6.5,13.3,0.49,0.56,2.9,3.7,0.78
20,Jordan Clarkson,17.5,3.4,3.8,0.8,3.0,1.1,0.2,2.7,35.0,35.1,6.0,13.3,0.45,0.48,4.6,5.6,0.83
21,Elston Turner,17.5,2.3,3.0,0.4,2.6,1.0,0.2,1.8,32.0,35.6,6.2,14.6,0.43,0.5,2.8,3.3,0.85
22,Brandon Knight,17.3,4.2,4.0,0.7,3.4,0.7,0.2,3.2,38.0,35.9,5.7,13.5,0.42,0.51,3.6,4.5,0.8
